timestamp,moisture,temperature
2025-11-26T23:35:32.715096,25.1,3.0
2025-11-26T23:35:37.870026,25.1,3.4
2025-11-26T23:35:43.061210,25.1,6.6
2025-11-26T23:35:48.207068,25.4,28.0
2025-11-26T23:35:53.353350,26.3,1.7
2025-11-26T23:35:58.498112,26.6,1.9
2025-11-26T23:36:03.653761,26.6,1.9
2025-11-26T23:36:11.349544,26.5,2.1
2025-11-26T23:36:16.491782,26.5,1.6
2025-11-26T23:36:21.644805,26.4,1.7
2025-11-26T23:36:26.833932,26.4,2.1
2025-11-26T23:36:31.975741,26.4,15.4
2025-11-26T23:36:37.123902,26.7,21.5
2025-11-26T23:36:42.269367,27.4,32.1
2025-11-26T23:36:47.424820,27.9,8.1
2025-11-26T23:36:52.614478,28.4,0.0
2025-11-26T23:36:57.760180,28.6,2.8
2025-11-26T23:37:02.904323,28.6,2.6
2025-11-26T23:37:08.047838,28.5,2.1
2025-11-26T23:37:13.200391,28.3,2.7
2025-11-26T23:37:18.390944,28.2,0.0
2025-11-26T23:37:23.536675,28.1,29.1
2025-11-26T23:37:28.678628,28.4,0.0
2025-11-26T23:37:33.823631,28.3,1.0
2025-11-26T23:37:38.978751,28.2,1.4
2025-11-26T23:37:44.169736,28.0,0.0
2025-11-26T23:37:49.312388,27.9,1.4
2025-11-26T23:37:54.456131,27.7,0.0
2025-11-26T23:37:59.599533,27.7,1.8
2025-11-26T23:38:04.752983,27.6,0.0
2025-11-26T23:38:09.943978,27.4,1.9
2025-11-26T23:38:15.085842,27.3,1.3
2025-11-26T23:38:20.234800,27.3,0.0
2025-11-26T23:38:25.378484,27.2,1.5
2025-11-26T23:38:30.531219,27.1,1.0
2025-11-26T23:38:35.722477,27.1,2.1
2025-11-26T23:38:40.866673,27.0,0.0
2025-11-26T23:38:46.009856,26.9,0.0
2025-11-26T23:38:51.154645,26.9,1.1
2025-11-26T23:38:56.308700,26.9,0.0
2025-11-26T23:39:01.499668,26.8,1.1
2025-11-26T23:39:06.644453,26.7,1.1
2025-11-26T23:39:11.790031,26.7,1.1
2025-11-26T23:39:16.935057,26.6,1.5
2025-11-26T23:39:22.108142,26.6,1.6
2025-11-26T23:39:27.336460,26.6,1.1
2025-11-26T23:39:32.482368,26.5,1.9
2025-11-26T23:39:37.637407,26.5,1.0
2025-11-26T23:39:42.828565,26.5,1.3
2025-11-26T23:39:47.973799,26.4,1.6
2025-11-26T23:39:53.120061,26.4,0.0
2025-11-26T23:39:58.265540,26.4,1.4
2025-11-26T23:40:03.420046,26.3,1.6
2025-11-26T23:40:08.611108,26.3,1.5
2025-11-26T23:40:13.754359,26.3,1.3
2025-11-26T23:40:18.896576,26.2,0.0
2025-11-26T23:40:24.038841,26.2,1.4
2025-11-26T23:40:29.191081,26.1,1.3
2025-11-26T23:40:34.380352,26.1,0.0
2025-11-26T23:40:39.522484,26.1,1.3
2025-11-26T23:40:44.669190,26.1,1.5
2025-11-26T23:40:49.813340,26.1,0.0
2025-11-26T23:40:54.965597,26.0,1.5
2025-11-26T23:41:00.155231,26.0,1.7
2025-11-26T23:41:05.302319,26.0,0.0
2025-11-26T23:41:10.444393,25.9,1.8
2025-11-26T23:41:15.586227,25.9,1.5
2025-11-26T23:41:20.737866,25.9,1.1
2025-11-26T23:41:25.926030,25.9,1.5
2025-11-26T23:41:31.068285,25.8,0.0
2025-11-26T23:41:36.213002,25.8,1.8
2025-11-26T23:41:41.357289,25.8,0.0
2025-11-26T23:41:46.509014,25.8,0.0
2025-11-26T23:41:51.699224,25.7,1.0
2025-11-26T23:41:56.844214,25.7,21.6
2025-11-26T23:42:01.986557,26.0,23.8
2025-11-26T23:42:07.128786,26.3,23.9
2025-11-26T23:42:12.282678,26.6,24.1
